coll_id	guid
BURGL	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=18853
BURKJ	https://www.biodiversitylibrary.org/creator/216431
BURNE	https://www.ipni.org/ipni/idAuthorSearch.do?id=1309-1
BURTB	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/9c888561-6427-4786-8a78-0153fd6c2a1f
BURTJ	https://viaf.org/viaf/435149366550785602846/
BUSHB	http://www.wikidata.org/entity/Q4888621
BUSSW	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/962ac1b2-6f3b-4a29-88f3-0c828d3a53a2
BUTAR	http://isni.org/isni/000000039402550X
BUTTR	https://www.ipni.org/ipni/idAuthorSearch.do?id=13572-1
BVNCL	http://www.wikidata.org/entity/Q6491480
BYTEB	https://orcid.org/0000-0002-4661-5727
BZNJ1	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=63071
C001	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3f101b4f-c7f0-444a-a8ed-f3945ba577be
C003	http://www.wikidata.org/entity/Q62990338
C004	https://www.biodiversitylibrary.org/creator/4478
C005	https://viaf.org/viaf/44151049970933410427/
C016	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a5779981-40ad-4e21-bdc7-1ec84215f48c
C021	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e01b7d27-b7db-4715-8e91-c5a516416b2e
C024	https://species.wikimedia.org/wiki/Fran%C3%A7oise_Candoussau
C025	https://species.wikimedia.org/wiki/Orator_Fuller_Cook
C027	http://www.wikidata.org/entity/Q62086216
C037	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/b1659c81-f432-49b8-9053-d5271b35b146
C045	http://www.wikidata.org/entity/Q36588124
C071	http://www.wikidata.org/entity/Q21509515
C078	http://www.wikidata.org/entity/Q21509213
C099	https://www.ipni.org/ipni/idAuthorSearch.do?id=1770-1
C101	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10405
C106	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=13776
C151	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0e8c52fe-2d37-4c97-86d6-c7a6f1634ee5
C252	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a119fb69-ce02-40a1-a979-b7d9e4c1a932
C590	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/50291697-89e4-435d-be8c-fb7a0c00cda5
C761	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/24c92332-683f-4f63-ba5d-8a89bcc0d5cc
C777	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1f9d734a-3c29-469f-a8f3-19cf4d60877b
C799	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=10004
C898	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=77790
C933	http://www.wikidata.org/entity/Q62990197
C951	http://isni.org/isni/000000043135897X
C954	http://isni.org/isni/000000008146216X
C999	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/87b626eb-efac-4aa9-b6ce-0139e372622c
CABRA1	https://viaf.org/viaf/67673096/
CALG	https://species.wikimedia.org/wiki/George_Caley
CALJA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3101f61a-f0ce-42ea-a870-922105245177
CALLH	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5b616ecc-28cb-4def-9080-ea461c12b22f
CAMB001	http://viaf.org/viaf/314847154
CAMFJ	http://www.wikidata.org/entity/Q21506890
CAMPW	http://www.wikidata.org/entity/Q21506896
CAPUR	http://www.wikidata.org/entity/Q2348654
CARDJ1	http://isni.org/isni/0000000121233282
CAREC	http://www.wikidata.org/entity/Q62990468
CARLA	http://www.wikidata.org/entity/Q62990280
CARRJ1	https://viaf.org/viaf/91287853/
CARV1	https://viaf.org/viaf/43623211/
CASAB	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=70758
CASIP	http://www.wikidata.org/entity/Q62990376
CASTJ1	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4e1801a4-4d30-4a32-bb0c-7fad594cc07d
CBD01	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/66a28cdf-e61e-4b03-bf5b-90cbd3575ea8
CESAV	https://species.wikimedia.org/wiki/Vincenzo_de_Cesati
CHABT	http://www.wikidata.org/entity/Q21341948
CHALG	http://www.wikidata.org/entity/Q62990374
CHALL	http://www.wikidata.org/entity/Q559445
CHAMD1	https://viaf.org/viaf/70521375/
CHAN1	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/be01bdc9-f654-47ce-b8b6-7a051cafcaf1
CHAP1	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=46358
CHAPJ	http://www.wikidata.org/entity/Q1680964
CHAPJD	https://viaf.org/viaf/104053189/
CHASN	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a3395dad-db80-4349-bad8-3b6e4b9ccbb0
CHDH	http://www.wikidata.org/entity/Q62990404
CHEEM	http://www.wikidata.org/entity/Q8932006
CHEVA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/907863d0-3d5a-4596-8d80-91771dba1cbe
CHEVL	https://www.ipni.org/ipni/idAuthorSearch.do?id=1587-1
CHILJ	https://viaf.org/viaf/306258329/
CHIPT	http://www.wikidata.org/entity/Q7789714
CHOUP	https://www.ipni.org/ipni/idAuthorSearch.do?id=1617-1
CHRHN	https://www.ipni.org/ipni/idAuthorSearch.do?id=1581-1
CHRIA	http://www.wikidata.org/entity/Q62990464
CHRMP	https://species.wikimedia.org/wiki/Mads_Peter_Christiansen
CKMDC	https://www.biodiversitylibrary.org/creator/94403
CLAEJ	http://www.wikidata.org/entity/Q62990200
CLARC	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8f39ec37-9c4c-423a-a6e9-524aa95ba5e2
CLAUP	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/050e81c1-bdd5-4d39-8756-5e8b99a94b4c
CLEUA	http://www.wikidata.org/entity/Q18206022
CLMJS	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=4089
CLPCD	https://viaf.org/viaf/184146573954438102058/
CLSSB	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=74438
CMLKR	https://www.ipni.org/ipni/idAuthorSearch.do?id=37472-1
CMNHE	http://www.wikidata.org/entity/Q4251070
CNNGH	http://isni.org/isni/0000000063197876
CNRWL	https://www.ipni.org/ipni/idAuthorSearch.do?id=32800-1
CODDL	https://viaf.org/viaf/24719428/
COLLA3	http://isni.org/isni/000000036014173X
COLLA4	http://www.wikidata.org/entity/Q443356
COLLE	http://www.wikidata.org/entity/Q62990234
COLLL	https://www.biodiversitylibrary.org/creator/349
COMPP	http://www.wikidata.org/entity/Q21508922
CONZC	https://www.biodiversitylibrary.org/creator/198358
COOMD	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a040e245-d1bc-4b75-9700-597463c8c2fa
COOPT	http://www.wikidata.org/entity/Q21504252
COPPE	https://viaf.org/viaf/115536869/
CORBA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/c8bd7602-c453-4a37-949c-682b7433dd9f
COSSE	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=646
COSTH	https://www.biodiversitylibrary.org/creator/10267
COUDL	http://www.wikidata.org/entity/Q61314878
COURG	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2daf5b1a-1112-4f53-9e0b-a2e7d0120fa0
COUTG	http://www.wikidata.org/entity/Q62990255
COUTM	http://www.wikidata.org/entity/Q62990256
CREMG	https://viaf.org/viaf/2491428/
CREPF	https://viaf.org/viaf/29615220/
CRGDB	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ee17f2dc-c654-4a61-a0fd-fa31ab17f100
CRMCHL	http://www.wikidata.org/entity/Q3040995
CRNJB	http://isni.org/isni/0000000082747335
CRRRW	http://www.wikidata.org/entity/Q62990245
CRTRJ	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=48081
CRUE1	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f50e5fd0-e1b0-403f-8382-4ef11b6f49df
CRVL	https://species.wikimedia.org/wiki/Lyndley_Alan_Craven
CULP	http://www.wikidata.org/entity/Q21509626
CUMIH	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/9629cd49-1c10-4a6f-9bcf-cea91261a365
CUNNA	https://viaf.org/viaf/15528184/
CURTA	http://www.wikidata.org/entity/Q16031427
D001	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/74595a09-9785-4669-a92b-f034f9dfa34d
D002	http://www.wikidata.org/entity/Q62990244
D003	http://www.wikidata.org/entity/Q346745
D005	https://viaf.org/viaf/21944487/
D013	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/20e4f315-3cc0-4172-a0da-525ab1042be4
D014	http://www.wikidata.org/entity/Q21510075
D015	https://www.ipni.org/ipni/idAuthorSearch.do?id=34803-1
D019	http://www.wikidata.org/entity/Q62990335
D021	https://viaf.org/viaf/72169036/
D024	http://www.wikidata.org/entity/Q21510197
D027	https://species.wikimedia.org/wiki/Carroll_William_Dodge
D029	http://www.wikidata.org/entity/Q21510006
D030	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/92f7acb8-4498-4e78-a6b2-d4e9fc272ac0
D036	https://viaf.org/viaf/59232650/
D038	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e48dde15-19a6-403f-9749-dcc2fc2823ea
D040	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cb02a30a-2313-49d6-b12b-6b2d5ff9dbe4
D041	https://www.ipni.org/ipni/idAuthorSearch.do?id=18307-1
D043	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=1794
D045	http://isni.org/isni/0000000028407831
D047	http://www.wikidata.org/entity/Q62990483
D071	http://www.wikidata.org/entity/Q3430474
D072	http://www.wikidata.org/entity/Q21392981
D074	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/12e31f42-8f3a-4c7f-9597-d818b7f261e7
D084	http://www.wikidata.org/entity/Q62990205
D099	http://www.ipni.org/ipni/idAuthorSearch.do?id=37327-1
D107	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=73504
D110	http://www.wikidata.org/entity/Q62990354
D121	https://species.wikimedia.org/wiki/Jean_Odon_Debeaux
D134	http://www.wikidata.org/entity/Q3270896
D143	http://isni.org/isni/0000000112484215
D156	https://orcid.org/0000-0003-1868-1265
D167	http://www.wikidata.org/entity/Q62990311
D173	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/bb3c7df5-89b8-40bb-aa54-5f416a8fbc34
D205	https://kiki.huh.harvard.edu/databases/botanist_search.php?mode=details&id=74514
D250	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ed3b5459-4461-4aa8-981f-51f23bb2b2e8
D357	https://www.biodiversitylibrary.org/creator/85476
D555	http://viaf.org/viaf/53270884
D878	http://www.wikidata.org/entity/Q21510441
D956	https://species.wikimedia.org/wiki/Joseph_Dulac
D968	http://www.wikidata.org/entity/Q62990502
DACRA	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/16e31d2c-0a5b-4d42-ad62-f153c7dae826
