verbatimRecordedByID	recordedByLastName	recordedBy	recordedByID
WILHP	Wilhelm	Wilhelm P.	""
KMZL	Kummrow$Zelma	Kummrow R. & Zelma F.J.	""
PITAC	Pitard	Pitard C.J.	""
N038	Niessl	Niessl	""
D084	Dielen	Dielen F.	http://www.wikidata.org/entity/Q62990205
K016	Kowalski	Kowalski D.T.	https://viaf.org/viaf/63109940/
CAROH	Caron	Caron H.	""
GRUNI	Grundl	Grundl Ignaz	""
ORPHT	Orphanides	Orphanides T.G.	""
DUCOJ	Ducommun	Ducommun J.C.	https://www.ipni.org/ipni/idAuthorSearch.do?id=2349-1
BOTTH	Botton	Botton H.	""
W500	Whitton	Whitton B.A.	""
RTNDC	Rutenberg	Rutenberg D.C.	""
BISSC	Bissell	Bissell C.H.	""
DJC	von Jelski	von Jelski C.	""
DSPHW	Draisma$Prud'homme van Reine	Draisma S. & Prud'homme van Reine W.	""
BRYAE	Bryant	Bryant E.G.	""
DL1	De Laveleye	De Laveleye É.	""
BASC1	Baschant	Baschant	""
HMQR	Humbert$Quarré	Humbert H. & Quarré P.	""
LINLK	Linley	Linley K.	""
P878	Pigneur	Pigneur	""
LVLMD	Louvel	Louvel M.	""
SPENM	Spencer	Spencer Mary F.	""
RANJE	Ranjatson	Ranjatson E.	""
WITT	Witterwulghe	Witterwulghe	""
D894	Duvignaud	Duvignaud	""
STOR1	Story	Story	""
PERIJ	Perin	Perin Joseph	""
YOUNA	Young	Young A.H.	""
LEFEM1	Lefebvre	Lefebvre Madelaine	""
GORTA	Gorton	Gorton A.E.A.	""
E004	Empain	Empain A.	""
S141	Schellenberg	Schellenberg G.	""
ELSMF	Elsmann	Elsmann F.	""
MROU	Oumorou	Oumorou M.	http://www.wikidata.org/entity/Q62990399
S999	Schaerer	Schaerer L.E.	https://viaf.org/viaf/110120361/
HASTRG	Hampshire$Stafford$Reyes Garcia	Hampshire R. J., Stafford P. J. & Reyes Garcia A.	""
FRYDAY	Fryday	Fryday A. M.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20001005-1
BNLG	Benl	Benl G.	""
DAOSH	D'Aoste	D'Aoste H.	""
BRED1	Bredemeyer	Bredemeyer	""
PUTT1	Putterlick	Putterlick	""
GUEDM	Guedes	Guedes Miguel	""
M025	Migliozzi	Migliozzi V.	https://www.ipni.org/ipni/idAuthorSearch.do?id=23363-1
BRGMR	Borget	Borget M.	""
OSMAH	Osmaston	Osmaston H.A.	https://viaf.org/viaf/37017667/
WATG	Watt	Watt George	""
KMBSTP	Kambale$Stoffelen	Kambale B. & Stoffelen P.	""
BRUM09	Brummitt$Seyani	Brummitt R.K. & Seyani J.H.	""
